"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal."
"1","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Nederland",2586000
"2","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Nederland",2596900
"3","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Nederland",2640300
"4","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Nederland",2668600
"5","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aa en Hunze",2900
"6","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Aa en Hunze",2900
"7","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Aa en Hunze",2900
"8","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Aa en Hunze",2900
"9","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalsmeer",4500
"10","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Aalsmeer",4600
"11","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Aalsmeer",4800
"12","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Aalsmeer",5000
"13","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Aalten",3600
"14","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Aalten",3600
"15","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Aalten",3600
"16","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Aalten",3600
"17","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Achtkarspelen",4000
"18","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Achtkarspelen",4000
"19","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Achtkarspelen",4100
"20","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Achtkarspelen",4100
"21","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alblasserdam",2900
"22","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alblasserdam",2900
"23","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alblasserdam",3000
"24","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alblasserdam",2900
"25","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Albrandswaard",3300
"26","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Albrandswaard",3400
"27","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Albrandswaard",3500
"28","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Albrandswaard",3600
"29","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alkmaar",14800
"30","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alkmaar",14600
"31","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alkmaar",14800
"32","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alkmaar",14800
"33","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almelo",10800
"34","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Almelo",10700
"35","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Almelo",10900
"36","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Almelo",11000
"37","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Almere",32400
"38","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Almere",32200
"39","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Almere",32500
"40","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Almere",32900
"41","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen aan den Rijn",15700
"42","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alphen aan den Rijn",15500
"43","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alphen aan den Rijn",15600
"44","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alphen aan den Rijn",15700
"45","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Alphen-Chaam",1300
"46","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Alphen-Chaam",1300
"47","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Alphen-Chaam",1300
"48","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Alphen-Chaam",1300
"49","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Altena",8100
"50","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Altena",8100
"51","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Altena",8200
"52","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Altena",8300
"53","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ameland",500
